variant,condition,seed,last_generation,final_fitness,final_distance,final_variance,survived,extinct_at
no_noise,baseline,0,459,0.026715825421501603,0.5355141687552583,0.0020608979016544155,True,
no_noise,baseline,1,459,0.017976494736789094,0.5671922782681974,0.0003521094769262728,True,
no_noise,baseline,2,459,0.057011448224473134,0.4769096274179237,0.0015459148404841493,True,
no_noise,baseline,3,459,0.014152543175161706,0.5863062774474718,0.00037868252990846046,True,
no_noise,baseline,4,459,0.017240976840887007,0.5711831701588734,0.0008390395045700844,True,
no_noise,baseline,5,459,0.020460117623240893,0.5611658668189987,0.0006709880213622858,True,
no_noise,baseline,6,459,0.014563395377224682,0.5727787769484338,0.00313019508178178,True,
no_noise,baseline,7,459,0.017438673014258728,0.5617399361999479,0.0034038896044373806,True,
no_noise,baseline,8,459,0.02048877884730287,0.5480204613268357,0.003074759557436158,True,
no_noise,baseline,9,459,0.025778729592321536,0.5466496154720677,0.0010499265762761681,True,
no_noise,baseline,10,459,0.04790160423345211,0.48876165674757704,0.002167842176045488,True,
no_noise,baseline,11,459,0.026685119907963486,0.5404540902139396,0.0004711233018619239,True,
no_noise,baseline,12,459,0.019647914429878538,0.5662952640810482,0.0008560801018022508,True,
no_noise,baseline,13,459,0.04192280369371947,0.4980496174710134,0.0021358879313200544,True,
no_noise,baseline,14,459,0.012383670854902624,0.5929533791210457,0.00014097948873387334,True,
no_noise,baseline,15,459,0.021297686506760657,0.5560524674186376,0.0004605004955653899,True,
no_noise,baseline,16,459,0.014333275293436469,0.5819630214608899,0.001010890532429575,True,
no_noise,baseline,17,459,0.016596519384628722,0.5720089227543025,0.0012876271147098676,True,
no_noise,baseline,18,459,0.09919754286052823,0.43241714456261415,0.0005529572465316157,True,
no_noise,baseline,19,459,0.013337314996049397,0.5875193915451435,8.959476407868992e-05,True,
no_noise,naive_flood,0,210,0.033357337210644565,0.519770768328492,0.0007490963126390467,False,211
no_noise,naive_flood,1,399,0.15358308211727364,0.38655792329122113,0.00017771628629613674,True,
no_noise,naive_flood,2,399,0.17861323717622596,0.3687244698245586,0.0019304284507585404,True,
no_noise,naive_flood,3,399,0.2787406214704155,0.3185569674237959,0.0005561141518540108,True,
no_noise,naive_flood,4,399,0.0993730273671139,0.43053981202754815,0.00037018194510349744,True,
no_noise,naive_flood,5,360,0.0191831611947979,0.5596638537593954,0.001870106807510864,False,361
no_noise,naive_flood,6,399,0.4628528731836051,0.24938666202629223,0.0018913102219071537,True,
no_noise,naive_flood,7,399,0.06613628575641903,0.46820968438576865,0.0014897550555583523,True,
no_noise,naive_flood,8,399,0.24042815838520804,0.3382450883560483,0.0011324552904475697,True,
no_noise,naive_flood,9,399,0.036127784004619225,0.5113596831127064,0.0016585093031662693,True,
no_noise,naive_flood,10,150,0.02714412315942629,0.5299184640662002,0.0029949539024924365,False,151
no_noise,naive_flood,11,399,0.28591114230073644,0.3096680599961471,0.001811914463274766,True,
no_noise,naive_flood,12,399,0.0949382633106705,0.4328078595992838,0.0013200503831790292,True,
no_noise,naive_flood,13,330,0.02136823417045573,0.5532046940602938,0.001496096920023787,False,331
no_noise,naive_flood,14,399,0.04493085404539086,0.5000117385023009,0.0010658004098074076,True,
no_noise,naive_flood,15,399,0.2778784680432087,0.3185957956865306,0.0006222784434277278,True,
no_noise,naive_flood,16,399,0.47596974794647323,0.23891287115214754,0.0008860856954186311,True,
no_noise,naive_flood,17,180,0.03013464451045408,0.5180718196958196,0.004668916649099973,False,181
no_noise,naive_flood,18,399,0.0701733919612947,0.47050158493009736,0.001556658017923533,True,
no_noise,naive_flood,19,399,0.11467178768577593,0.4164382067699442,0.001056544950004076,True,
no_noise,pre_adapted_flood,0,0,0.022555631519529586,0.5491189687932316,0.002858995564852769,False,1
no_noise,pre_adapted_flood,1,399,0.20073981512914865,0.356853901330458,0.0018689799777185652,True,
no_noise,pre_adapted_flood,2,399,0.09687144301477872,0.4252724821972194,0.0020393748406326143,True,
no_noise,pre_adapted_flood,3,399,0.5182097511517445,0.2270804046718194,0.002800223605149818,True,
no_noise,pre_adapted_flood,4,399,0.04366963836238789,0.497371511926645,0.002182830472897963,True,
no_noise,pre_adapted_flood,5,399,0.09045761157303463,0.43580029872342496,0.0017705707775877914,True,
no_noise,pre_adapted_flood,6,399,0.5100503115970788,0.22630376672344868,0.0013807030353465207,True,
no_noise,pre_adapted_flood,7,150,0.0519903178973087,0.4776808973659142,0.00264553509726312,False,151
no_noise,pre_adapted_flood,8,399,0.5269065349515404,0.22100547380300925,0.00106333739870506,True,
no_noise,pre_adapted_flood,9,399,0.02891811606150251,0.5325096934089069,0.002146517439724297,True,
