variant,condition,mean_fitness,mean_distance,mean_variance,mean_n_parents,mean_median_offspring,mean_max_offspring,survival_rate,n_survived,n_total
no_noise,baseline,0.02725652175072405,0.5471967567095108,0.0012839943123957942,63.44500000000001,1.0659239130434783,4.223695652173913,1.0,20,20
no_noise,naive_flood,0.333908014265267,0.29862140659904207,0.0011898161630910643,63.385322909348666,1.0641532755795817,4.241656583737987,0.75,15,20
no_noise,pre_adapted_flood,0.1716033692923566,0.4139879735379356,0.0013316982829941035,63.08148798932384,1.0807070729537367,4.259786032028471,0.35,7,20
with_noise,baseline,0.014720478449216506,0.5854065168778825,0.0008454183930498114,63.39691821554986,1.0611035442220973,4.242989262131666,0.1,2,20
with_noise,naive_flood,0.3616084562098695,0.29159959257932744,0.0013920810890105495,63.35838679040813,1.0650802323631465,4.242028952924139,0.6,12,20
with_noise,pre_adapted_flood,0.2108504008944636,0.4210566912907491,0.0009371989308238791,62.37412783178543,1.132219740039927,4.210550863640309,0.3,6,20
